file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,55,css,61f9d364,Sahra,2025-10-28,11:15:29,-07:00,2025-10-28T11:15:29-07:00,3,26
style.css,56,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,22
style.css,57,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,58,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,12
style.css,59,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,9
style.css,60,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,20
style.css,61,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,15
style.css,62,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,63,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,64,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,80
style.css,65,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,24
style.css,66,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,27
style.css,67,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,68,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,26
style.css,69,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,3,21
style.css,70,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,3,26
style.css,71,css,61f9d364,Sahra,2025-10-28,11:15:29,-07:00,2025-10-28T11:15:29-07:00,1,58
style.css,72,css,61f9d364,Sahra,2025-10-28,11:15:29,-07:00,2025-10-28T11:15:29-07:00,1,65
style.css,73,css,61f9d364,Sahra,2025-10-28,11:15:29,-07:00,2025-10-28T11:15:29-07:00,1,52
style.css,74,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,75,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,28
style.css,76,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,9
style.css,77,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,42
style.css,78,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,20
style.css,79,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,17
style.css,80,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,15
style.css,81,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,82,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,83,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,28
style.css,84,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,56
style.css,85,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,39
style.css,86,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,87,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,31
style.css,88,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,4
style.css,89,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,16
style.css,90,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,15
style.css,91,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,14
style.css,92,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,18
style.css,93,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,18
style.css,94,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,19
style.css,95,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,96,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,97,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,26
